version,buffer_bounds,img_augment,distance_mode,log_dist,num_1_factor,num_1_point95,norm_from_train,val_frac,val_metric,model_name,accept_midinput,MDL_Unet++_decoder_attention_type,MDL_Unet++_encoder_name,batch_size,loss,LS_focal_alpha,lr,scheduler,LR_StepLR_step_size,LR_StepLR_gamma,LR_CosineAnnealingWarmRestarts_T_0,LR_Warmup_milestone,LR_CosineAnnealingLR_T_max,LR_CosineAnnealingLR_eta_min,optimizer,OPT_AdamW_weight_decay,max_epochs,early_stop_patience,version_run,test-set,trainings_per_test,eval_conn_version
28,"(2,3)",False,absolute,True,1.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
29,"(2,3)",False,absolute,True,5.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
30,"(2,3)",False,absolute,True,10.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
31,"(2,3)",False,absolute,True,15.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
32,"(2,3)",False,absolute,True,20.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
33,"(2,3)",False,absolute,True,25.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
34,"(2,3)",False,absolute,True,30.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
35,"(2,3)",False,absolute,True,35.0,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
36,"(2,3)",False,absolute,True,0.1,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
37,"(0,1)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
38,"(1,2)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
39,"(2,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
40,"(3,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
41,"(4,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
42,"(0,2)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
43,"(1,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
44,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
45,"(3,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
46,"(0,3)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
47,"(1,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
48,"(2,5)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
49,,False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,False,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
50,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet++,True,,resnet34,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
51,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Unet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
52,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,FPN,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
53,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,PSPNet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
54,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,DeepLabV3,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
55,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,DeepLabV3+,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
56,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Linknet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
57,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,MAnet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
58,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,UPerNet,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
59,"(2,4)",False,absolute,True,0.25,10,True,0.1,F1_Score,Segformer,True,,,4,dice,,0.0001,CosineAnnealingWarmRestarts,,,10,,,,AdamW,0.1,200,20,True,[49],1,23
